,position,game,console,publisher,developer,vgchart_score,critic_score,user_score,total_shipped,total_sales,na_sales,pal_sales,japan_sales,other_sales,release_date,last_update
19,20,Wii Sports,Wii,Nintendo  ,Nintendo EAD  ,N/A  ,7.7  ,N/A  ,82.90m,,,,,,19th Nov 06  ,
56,57,Super Mario Bros.,NES,Nintendo  ,Nintendo EAD  ,N/A  ,10.0  ,8.2  ,40.24m,,,,,,18th Oct 85  ,
62,63,Mario Kart Wii,Wii,Nintendo  ,Nintendo EAD  ,8.7  ,8.2  ,9.1  ,37.32m,,,,,,27th Apr 08  ,11th Apr 18
71,72,Minecraft,PC,Mojang  ,Mojang AB  ,N/A  ,10.0  ,N/A  ,33.15m,,,,,,10th May 10  ,05th Aug 18
72,73,Wii Sports Resort,Wii,Nintendo  ,Nintendo EAD  ,8.8  ,8.0  ,8.8  ,33.13m,,,,,,26th Jul 09  ,
75,76,Pokémon Red / Green / Blue Version,GB,Nintendo  ,Game Freak  ,N/A  ,9.4  ,N/A  ,31.38m,,,,,,30th Sep 98  ,
78,79,New Super Mario Bros.,DS,Nintendo  ,Nintendo EAD  ,N/A  ,9.1  ,8.1  ,30.80m,,,,,,15th May 06  ,
79,80,New Super Mario Bros. Wii,Wii,Nintendo  ,Nintendo EAD  ,9.1  ,8.6  ,9.2  ,30.30m,,,,,,15th Nov 09  ,
89,90,Wii Play,Wii,Nintendo  ,Nintendo EAD  ,5.3  ,5.9  ,4.5  ,28.02m,,,,,,12th Feb 07  ,
100,101,Mario Kart 8 Deluxe,NS,Nintendo  ,Nintendo EPD  ,N/A  ,9.3  ,N/A  ,24.77m,,,,,,28th Apr 17  ,19th Nov 18
101,102,Kinect Adventures!,X360,Microsoft Game Studios  ,Good Science Studio  ,6.2  ,6.7  ,N/A  ,24.00m,,,,,,04th Nov 10  ,29th Sep 18
103,104,Nintendogs,DS,Nintendo  ,Nintendo EAD  ,N/A  ,8.4  ,N/A  ,23.96m,,,,,,23rd Aug 05  ,
104,105,Mario Kart DS,DS,Nintendo  ,Nintendo EAD  ,N/A  ,9.1  ,9.4  ,23.60m,,,,,,14th Nov 05  ,
105,106,Pokémon Gold / Silver Version,GB,Nintendo  ,Game Freak  ,N/A  ,9.2  ,N/A  ,23.10m,,,,,,14th Oct 00  ,
107,108,Wii Fit,Wii,Nintendo  ,Nintendo EAD  ,8.0  ,7.9  ,N/A  ,22.67m,,,,,,21st May 08  ,
112,113,Wii Fit Plus,Wii,Nintendo  ,Nintendo EAD  ,N/A  ,8.0  ,N/A  ,21.13m,,,,,,04th Oct 09  ,
114,115,Super Mario World,SNES,Nintendo  ,Nintendo EAD  ,N/A  ,8.5  ,N/A  ,20.61m,,,,,,13th Aug 91  ,10th Aug 18
115,116,Grand Theft Auto V,PS3,Rockstar Games  ,Rockstar North  ,N/A  ,9.4  ,N/A  ,,20.32m,6.37m,9.85m,0.99m,3.12m,17th Sep 13  ,
131,132,Grand Theft Auto V,PS4,Rockstar Games  ,Rockstar North  ,N/A  ,9.7  ,N/A  ,,19.39m,6.06m,9.71m,0.60m,3.02m,18th Nov 14  ,03rd Jan 18
133,134,Brain Age: Train Your Brain in Minutes a Day,DS,Nintendo  ,Nintendo SDD  ,N/A  ,8.1  ,N/A  ,19.01m,,,,,,17th Apr 06  ,
136,137,Super Smash Bros. Ultimate,NS,Nintendo  ,Bandai Namco Games  ,9.0  ,9.4  ,9.7  ,18.84m,,,,,,07th Dec 18  ,18th Oct 18
137,138,Mario Kart 7,3DS,Nintendo  ,Nintendo EAD / Retro Studios  ,N/A  ,8.2  ,N/A  ,18.71m,,,,,,04th Dec 11  ,
140,141,Pokémon Diamond / Pearl Version,DS,Nintendo  ,Game Freak  ,N/A  ,8.6  ,N/A  ,17.67m,,,,,,28th Apr 07  ,
143,144,Super Mario Odyssey,NS,Nintendo  ,Nintendo EPD  ,N/A  ,9.9  ,N/A  ,17.41m,,,,,,27th Oct 17  ,19th Nov 18
144,145,The Legend of Zelda: Breath of the Wild,NS,Nintendo  ,Nintendo EPD  ,N/A  ,9.9  ,10.0  ,17.41m,,,,,,03rd Mar 17  ,19th Nov 18
146,147,Grand Theft Auto: San Andreas,PS2,Rockstar Games  ,Rockstar North  ,N/A  ,9.5  ,N/A  ,17.30m,,,,,,26th Oct 04  ,
154,155,Pokémon X/Y,3DS,Nintendo  ,Game Freak  ,N/A  ,8.9  ,9.7  ,16.45m,,,,,,12th Oct 13  ,06th Jan 18
155,156,Uncharted 4: A Thief's End,PS4,Sony Interactive Entertainment  ,Naughty Dog  ,N/A  ,9.2  ,N/A  ,16.25m,,,,,,10th May 16  ,23rd Sep 18
156,157,Pokémon Ruby / Sapphire Version,GBA,Nintendo  ,Game Freak  ,N/A  ,8.8  ,N/A  ,16.22m,,,,,,17th Mar 03  ,
157,158,Pokémon Sun/Moon,3DS,Nintendo  ,Game Freak  ,N/A  ,9.0  ,N/A  ,16.18m,,,,,,18th Nov 16  ,03rd Aug 18
159,160,Grand Theft Auto: Vice City,PS2,Rockstar Games  ,Rockstar North  ,N/A  ,9.6  ,N/A  ,,16.15m,8.41m,5.49m,0.47m,1.78m,28th Oct 02  ,
164,165,Pokémon Black / White Version,DS,Nintendo  ,Game Freak  ,N/A  ,8.6  ,9.0  ,15.64m,,,,,,06th Mar 11  ,
168,169,Counter-Strike: Source,PC,VU Games  ,Valve Software  ,N/A  ,9.3  ,N/A  ,15.00m,,,,,,16th Nov 04  ,
178,179,Gran Turismo 3: A-Spec,PS2,Sony Computer Entertainment  ,Polyphony Digital  ,N/A  ,9.3  ,N/A  ,14.89m,,,,,,09th Jul 01  ,
179,180,Brain Age 2: More Training in Minutes a Day,DS,Nintendo  ,Nintendo SDD  ,N/A  ,8.0  ,N/A  ,14.88m,,,,,,20th Aug 07  ,
180,181,Call of Duty: Modern Warfare 3,X360,Activision  ,Infinity Ward  ,N/A  ,8.7  ,N/A  ,,14.82m,9.07m,4.29m,0.13m,1.33m,08th Nov 11  ,
